epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,225.188,1.21037,0.76461,1.27217,0.97699,0.84906,0.94403,0.65787,1.2735,0.69841,1.49926,0.0011882,0.0011882,0.0011882
43,230.71,1.15824,0.73943,1.24209,0.88664,0.88544,0.94035,0.64385,1.26949,0.79306,1.51058,0.0011684,0.0011684,0.0011684
44,236.046,1.13555,0.65496,1.21823,0.95982,0.90153,0.92088,0.65596,1.23781,0.74541,1.51791,0.0011486,0.0011486,0.0011486
45,241.164,1.14819,0.71844,1.26821,0.97945,0.89923,0.94441,0.65255,1.22307,0.69251,1.51072,0.0011288,0.0011288,0.0011288
46,246.379,1.11081,0.72112,1.27874,0.95392,0.88679,0.96264,0.6642,1.27633,0.64733,1.57969,0.001109,0.001109,0.001109
47,251.774,1.06389,0.61279,1.16546,0.97995,0.88679,0.96592,0.66699,1.27387,0.65277,1.50971,0.0010892,0.0010892,0.0010892
48,257.351,1.12433,0.67128,1.27268,0.95802,0.90566,0.95298,0.63289,1.40601,0.69697,1.66143,0.0010694,0.0010694,0.0010694
49,262.555,1.12783,0.68052,1.19786,0.91035,0.88679,0.94172,0.6604,1.24601,0.70042,1.45668,0.0010496,0.0010496,0.0010496
50,268.873,1.08267,0.63332,1.2161,0.95096,0.83019,0.94652,0.63971,1.23858,0.74304,1.49481,0.0010298,0.0010298,0.0010298
51,274.195,1.11581,0.66506,1.24477,0.94227,0.92386,0.95751,0.68296,1.20789,0.63271,1.46158,0.00101,0.00101,0.00101
52,279.824,1.1002,0.65045,1.22831,0.9427,0.92453,0.96914,0.6399,1.32722,0.61206,1.57831,0.0009902,0.0009902,0.0009902
53,284.992,1.05634,0.61059,1.21564,0.9584,0.86792,0.9548,0.65266,1.22586,0.6857,1.50351,0.0009704,0.0009704,0.0009704
54,290.217,1.04664,0.59949,1.20652,0.9419,0.84906,0.92103,0.61275,1.2354,0.70763,1.48782,0.0009506,0.0009506,0.0009506
55,295.998,1.11295,0.61246,1.20696,0.96019,0.86792,0.93371,0.60098,1.35774,0.7534,1.61465,0.0009308,0.0009308,0.0009308
56,301.363,1.04703,0.5975,1.22039,0.89059,0.92158,0.94756,0.64221,1.19929,0.68888,1.43391,0.000911,0.000911,0.000911
57,306.954,1.08615,0.63668,1.25365,0.97908,0.90566,0.95035,0.6529,1.17664,0.6446,1.45913,0.0008912,0.0008912,0.0008912
58,312.408,1.01671,0.56688,1.17294,0.97166,0.88679,0.95134,0.66176,1.18522,0.63828,1.42753,0.0008714,0.0008714,0.0008714
59,317.797,1.02865,0.60105,1.20038,0.96858,0.92453,0.94248,0.68895,1.14924,0.66956,1.43164,0.0008516,0.0008516,0.0008516
60,323.289,1.04768,0.61403,1.16469,0.95256,0.83019,0.92935,0.63116,1.273,0.69815,1.50717,0.0008318,0.0008318,0.0008318
61,328.412,1.05674,0.61861,1.20183,0.9588,0.87825,0.94649,0.6348,1.2537,0.73544,1.51541,0.000812,0.000812,0.000812
62,333.398,1.03656,0.61506,1.19266,0.93693,0.92453,0.9417,0.63863,1.23242,0.65349,1.46674,0.0007922,0.0007922,0.0007922
63,338.506,1.0902,0.61451,1.26546,1,0.88282,0.96278,0.64224,1.2574,0.64259,1.49092,0.0007724,0.0007724,0.0007724
64,343.549,1.02096,0.61875,1.17682,0.94076,0.89903,0.95829,0.66984,1.20015,0.64299,1.42296,0.0007526,0.0007526,0.0007526
65,348.586,0.99795,0.58948,1.19108,0.95047,0.92453,0.96009,0.67094,1.2355,0.63431,1.47807,0.0007328,0.0007328,0.0007328
66,353.686,1.00529,0.57642,1.15689,0.9395,0.87906,0.9356,0.66297,1.23779,0.6277,1.50352,0.000713,0.000713,0.000713
67,358.786,1.00602,0.59858,1.18929,0.93907,0.87246,0.94937,0.66104,1.22806,0.7151,1.50226,0.0006932,0.0006932,0.0006932
68,364.008,1.00145,0.57981,1.16547,0.97521,0.92453,0.95498,0.67078,1.21338,0.58232,1.42128,0.0006734,0.0006734,0.0006734
69,369.097,1.00111,0.56745,1.18733,0.97432,0.92453,0.95799,0.67709,1.17703,0.58239,1.39024,0.0006536,0.0006536,0.0006536
70,374.232,0.93759,0.55109,1.16743,0.9778,0.88679,0.95568,0.66316,1.18122,0.61237,1.39514,0.0006338,0.0006338,0.0006338
71,379.363,0.93838,0.52745,1.12503,0.95332,0.9434,0.97402,0.65874,1.23071,0.59413,1.47837,0.000614,0.000614,0.000614
72,384.586,0.95917,0.5173,1.17468,0.9352,0.84906,0.95016,0.65733,1.1756,0.65275,1.37844,0.0005942,0.0005942,0.0005942
73,389.665,0.96137,0.56702,1.16591,0.91925,0.88679,0.94563,0.6567,1.20837,0.61286,1.40647,0.0005744,0.0005744,0.0005744
74,394.707,0.90443,0.53302,1.12054,0.97713,0.88679,0.94844,0.6571,1.26658,0.607,1.43658,0.0005546,0.0005546,0.0005546
75,399.813,0.97147,0.52959,1.16028,0.89289,0.90566,0.93803,0.65587,1.22577,0.62087,1.44918,0.0005348,0.0005348,0.0005348
76,405.006,0.96882,0.57536,1.18009,0.90003,0.90566,0.9352,0.64094,1.27821,0.68238,1.44602,0.000515,0.000515,0.000515
77,410.103,0.92634,0.53586,1.13118,0.92053,0.90566,0.93492,0.65774,1.24494,0.66242,1.43045,0.0004952,0.0004952,0.0004952
78,415.206,0.93642,0.54636,1.1395,0.92289,0.90333,0.94602,0.64886,1.25543,0.63319,1.4521,0.0004754,0.0004754,0.0004754
