epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,147.238,0.92891,0.74174,1.79706,0.91696,0.96154,0.98217,0.72992,0.84385,0.51163,1.99844,0.0011882,0.0011882,0.0011882
43,150.793,0.87705,0.64417,1.75118,1,0.88661,0.98486,0.735,0.85786,0.61346,2.03241,0.0011684,0.0011684,0.0011684
44,154.117,0.87557,0.65871,1.76379,0.98105,0.88462,0.98639,0.75759,0.85316,0.57886,2.03903,0.0011486,0.0011486,0.0011486
45,157.472,0.89923,0.66796,1.7891,0.89041,1,0.97658,0.73346,0.90616,0.61211,2.1408,0.0011288,0.0011288,0.0011288
46,160.855,0.89548,0.6819,1.87139,0.92621,0.92308,0.96932,0.73975,0.85258,0.56289,2.04164,0.001109,0.001109,0.001109
47,164.109,0.80781,0.61071,1.66357,0.90443,0.96154,0.97865,0.74359,0.84567,0.52776,2.0623,0.0010892,0.0010892,0.0010892
48,167.465,0.89183,0.6939,1.81352,0.91326,0.96154,0.9814,0.7499,0.88964,0.58106,1.92199,0.0010694,0.0010694,0.0010694
49,170.798,0.85956,0.6777,1.72333,0.90707,0.96154,0.97985,0.72749,0.90651,0.57201,2.09158,0.0010496,0.0010496,0.0010496
50,174.132,0.84285,0.65069,1.71957,0.90777,0.96154,0.97276,0.7424,0.88965,0.57173,2.0162,0.0010298,0.0010298,0.0010298
51,177.411,0.89897,0.66014,1.78309,0.95187,0.94231,0.9789,0.71015,0.90298,0.56355,2.2091,0.00101,0.00101,0.00101
52,180.751,0.86859,0.61287,1.75515,0.92056,0.92308,0.97306,0.7433,0.86149,0.55148,2.07975,0.0009902,0.0009902,0.0009902
53,184.111,0.87002,0.63206,1.74971,0.92549,0.9556,0.97616,0.73098,0.86286,0.56887,2.06309,0.0009704,0.0009704,0.0009704
54,187.424,0.84421,0.63693,1.72563,0.90466,0.92308,0.96837,0.704,0.89401,0.60812,1.99971,0.0009506,0.0009506,0.0009506
55,190.759,0.85596,0.6444,1.72787,0.95232,0.92308,0.96786,0.71453,0.89981,0.56187,2.1456,0.0009308,0.0009308,0.0009308
56,194.131,0.83148,0.61153,1.78879,0.90701,0.93791,0.97077,0.73799,0.85494,0.56383,1.99073,0.000911,0.000911,0.000911
57,197.441,0.87195,0.65708,1.78516,0.9423,0.94215,0.97341,0.73211,0.887,0.55133,2.00207,0.0008912,0.0008912,0.0008912
58,200.815,0.80301,0.59099,1.70721,0.96072,0.94063,0.978,0.73719,0.90321,0.51399,2.09707,0.0008714,0.0008714,0.0008714
59,204.152,0.84807,0.6109,1.73117,0.95745,0.98077,0.98483,0.74969,0.87585,0.47714,2.05209,0.0008516,0.0008516,0.0008516
60,207.573,0.83392,0.62818,1.70488,0.96149,0.96035,0.97685,0.744,0.89518,0.50087,2.07568,0.0008318,0.0008318,0.0008318
61,210.936,0.78033,0.60045,1.69671,0.96134,0.95658,0.97645,0.74875,0.89079,0.50609,2.12621,0.000812,0.000812,0.000812
62,214.327,0.83062,0.6284,1.68387,0.96012,0.96154,0.97909,0.76861,0.86763,0.48853,2.07419,0.0007922,0.0007922,0.0007922
63,217.693,0.83841,0.63983,1.80434,0.92702,0.97709,0.98396,0.74914,0.87366,0.49908,1.90028,0.0007724,0.0007724,0.0007724
64,221.048,0.78915,0.63689,1.7361,0.95998,0.92262,0.98327,0.74263,0.87478,0.51028,1.9588,0.0007526,0.0007526,0.0007526
65,224.5,0.81192,0.60096,1.72025,0.96063,0.93858,0.98176,0.75664,0.8535,0.47616,1.99135,0.0007328,0.0007328,0.0007328
66,227.848,0.7573,0.55418,1.63668,0.96065,0.93901,0.9775,0.74614,0.85462,0.48723,2.06509,0.000713,0.000713,0.000713
67,231.374,0.78539,0.59427,1.71996,0.94213,0.93921,0.97959,0.76088,0.84102,0.49637,2.09509,0.0006932,0.0006932,0.0006932
68,234.826,0.79989,0.59299,1.64679,0.90655,0.96154,0.97817,0.76611,0.83139,0.51603,2.00819,0.0006734,0.0006734,0.0006734
69,238.109,0.78512,0.58661,1.71828,0.92357,0.94231,0.9723,0.75434,0.85185,0.50694,2.13146,0.0006536,0.0006536,0.0006536
70,241.566,0.77187,0.6195,1.75292,0.90967,0.98077,0.97718,0.7735,0.80122,0.4874,1.98095,0.0006338,0.0006338,0.0006338
71,244.936,0.76845,0.59565,1.65643,0.92427,0.96154,0.97341,0.76698,0.83178,0.49145,2.06949,0.000614,0.000614,0.000614
72,248.324,0.76561,0.57176,1.7041,0.91051,0.97834,0.96756,0.7485,0.8563,0.51876,2.12651,0.0005942,0.0005942,0.0005942
73,251.825,0.79187,0.61297,1.73009,0.89165,0.96154,0.9548,0.75439,0.85536,0.54875,1.87415,0.0005744,0.0005744,0.0005744
74,255.228,0.72412,0.56059,1.63897,0.90547,0.94231,0.95433,0.7444,0.84979,0.55584,1.90846,0.0005546,0.0005546,0.0005546
75,258.577,0.72358,0.54372,1.6502,0.92146,0.94231,0.95844,0.74418,0.86127,0.54639,1.96134,0.0005348,0.0005348,0.0005348
76,262.024,0.78622,0.5862,1.69492,0.90906,0.96154,0.95906,0.74295,0.90169,0.53253,2.062,0.000515,0.000515,0.000515
77,265.366,0.75593,0.59808,1.70516,0.93721,0.96154,0.96498,0.75454,0.85555,0.50852,2.09326,0.0004952,0.0004952,0.0004952
78,268.752,0.70555,0.54205,1.5926,0.94098,0.96154,0.95995,0.7591,0.87519,0.49024,2.00507,0.0004754,0.0004754,0.0004754
79,272.123,0.76847,0.55388,1.71466,0.94019,0.96154,0.97184,0.74516,0.93617,0.51315,1.94586,0.0004556,0.0004556,0.0004556
80,275.55,0.76325,0.60281,1.70322,0.92586,0.96057,0.97765,0.73682,0.89706,0.51329,2.09161,0.0004358,0.0004358,0.0004358
81,279.021,0.75915,0.58022,1.74885,0.91036,0.9766,0.97797,0.75401,0.88209,0.50422,2.02861,0.000416,0.000416,0.000416
82,282.48,0.72853,0.53786,1.6434,0.90482,0.98077,0.97772,0.75516,0.87183,0.499,2.02682,0.0003962,0.0003962,0.0003962
83,285.943,0.78023,0.5998,1.75804,0.96943,0.90385,0.97832,0.77106,0.85434,0.51206,2.1051,0.0003764,0.0003764,0.0003764
84,289.366,0.701,0.58015,1.68075,0.95947,0.91067,0.97888,0.76029,0.84521,0.52233,2.08263,0.0003566,0.0003566,0.0003566
85,292.803,0.76317,0.60746,1.70579,0.98877,0.88462,0.97808,0.76002,0.86173,0.52233,2.07509,0.0003368,0.0003368,0.0003368
